31	3.150873	192.168.2.1	224.0.0.251	MDNS	87	Standard query 0x0000 PTR _ipps._tcp.local, "QM" question PTR _ipp._tcp.local, "QM" question
32	3.643168	fe80::221:ccff:fec1:2eae	ff02::fb	MDNS	380	Standard query response 0x0000 TXT, cache flush AAAA, cache flush fe80::221:ccff:fec1:2eae PTR, cache flush ishraq-thinkpad.local HINFO, cache flush I686 LINUX SRV, cache flush 0 0 9 ishraq-thinkpad.local TXT, cache flush SRV, cache flush 0 0 22 ishraq-thinkpad.local
33	3.643545	192.168.2.1	224.0.0.251	MDNS	432	Standard query response 0x0000 PTR, cache flush ishraq-thinkpad.local AAAA, cache flush fe80::221:ccff:fec1:2eae PTR ishraq-thinkpad [00:21:cc:c1:2e:ae]._workstation._tcp.local TXT, cache flush SRV, cache flush 0 0 9 ishraq-thinkpad.local A, cache flush 192.168.2.1 PTR _workstation._tcp.local PTR ishraq-thinkpad._udisks-ssh._tcp.local TXT, cache flush SRV, cache flush 0 0 22 ishraq-thinkpad.local PTR _udisks-ssh._tcp.local
34	4.359076	192.168.2.1	224.0.0.251	MDNS	328	Standard query response 0x0000 TXT, cache flush A, cache flush 192.168.2.1 PTR, cache flush ishraq-thinkpad.local HINFO, cache flush I686 LINUX SRV, cache flush 0 0 9 ishraq-thinkpad.local AAAA, cache flush fe80::221:ccff:fec1:2eae TXT, cache flush SRV, cache flush 0 0 22 ishraq-thinkpad.local
35	4.621810	fe80::221:ccff:fec1:2eae	ff02::fb	MDNS	107	Standard query 0x0000 PTR _ipps._tcp.local, "QM" question PTR _ipp._tcp.local, "QM" question
36	5.172113	fe80::221:ccff:fec1:2eae	ff02::fb	MDNS	350	Standard query response 0x0000 PTR _udisks-ssh._tcp.local PTR ishraq-thinkpad [00:21:cc:c1:2e:ae]._workstation._tcp.local TXT, cache flush SRV, cache flush 0 0 9 ishraq-thinkpad.local AAAA, cache flush fe80::221:ccff:fec1:2eae PTR _workstation._tcp.local PTR ishraq-thinkpad._udisks-ssh._tcp.local TXT, cache flush SRV, cache flush 0 0 22 ishraq-thinkpad.local
37	5.520010	fe80::221:ccff:fec1:2eae	ff02::2	ICMPv6	70	Router Solicitation from 00:21:cc:c1:2e:ae
38	5.776040	192.168.2.1	224.0.0.22	IGMPv3	54	Membership Report / Join group 224.0.0.251 for any sources
39	5.829554	fe80::221:ccff:fec1:2eae	ff02::fb	MDNS	380	Standard query response 0x0000 TXT, cache flush AAAA, cache flush fe80::221:ccff:fec1:2eae PTR, cache flush ishraq-thinkpad.local HINFO, cache flush I686 LINUX SRV, cache flush 0 0 9 ishraq-thinkpad.local TXT, cache flush SRV, cache flush 0 0 22 ishraq-thinkpad.local
40	5.829704	192.168.2.1	224.0.0.251	MDNS	189	Standard query response 0x0000 PTR, cache flush ishraq-thinkpad.local AAAA, cache flush fe80::221:ccff:fec1:2eae
41	7.152581	192.168.2.1	224.0.0.251	MDNS	87	Standard query 0x0000 PTR _ipps._tcp.local, "QM" question PTR _ipp._tcp.local, "QM" question
42	7.967992	fe80::221:ccff:fec1:2eae	ff02::16	ICMPv6	90	Multicast Listener Report Message v2
43	8.622411	fe80::221:ccff:fec1:2eae	ff02::fb	MDNS	107	Standard query 0x0000 PTR _ipps._tcp.local, "QM" question PTR _ipp._tcp.local, "QM" question
44	9.528013	fe80::221:ccff:fec1:2eae	ff02::2	ICMPv6	70	Router Solicitation from 00:21:cc:c1:2e:ae
45	15.156490	192.168.2.1	224.0.0.251	MDNS	87	Standard query 0x0000 PTR _ipps._tcp.local, "QM" question PTR _ipp._tcp.local, "QM" question
